City,서울,부산,대구,인천,광주,대전,울산,세종,수원,성남,고양,용인,창원,청주,전주,천안,안산,안양,남양주,부천,화성,포항,김해,평택,진주,원주,아산,익산,춘천,경산,군포,강릉,양산,광명,구미,순천,김포,의정부,시흥,광주(경기),음성,동두천,목포,속초,사천,오산,여수,경주,군산,서산,의왕,파주,양주,하남,김천,정읍,충주,거제,나주,안동,제천,보령,공주,문경,상주,영천,영주,논산,광양,포천,이천,양평,홍성,예산,정선,삼척,태백,영광,고흥,남해,통영,고성,양양,철원,연천,화천,인제,거창,합천,밀양,함안,창녕,청도,의성,예천,봉화,울진,영동,남원,곡성
고양,16.43802940876755,50.0,50.0,25.073097457908432,50.0,50.0,50.0,50.0,47.14333058684064,37.09939297412268,0.0,50.0,50.0,50.0,50.0,50.0,37.34720242310222,31.318972077385038,34.02366032418988,18.135902470538987,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,34.087415220262145,50.0,50.0,20.339411134628502,50.0,50.0,11.326394958278458,19.858385698883286,31.010991001095142,46.505468270260025,50.0,33.62112185275237,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,36.84543479650138,12.335949234455123,23.51620250345703,36.24781451098705,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,41.707365646634614,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
용인,40.20662699696554,50.0,50.0,48.19105518211581,50.0,50.0,50.0,50.0,13.45257037871692,20.38658096250403,50.0,0.0,50.0,50.0,50.0,47.615246982371346,32.0272147403936,25.925706250885295,43.963315960388876,46.93804608991888,31.106714441816475,50.0,50.0,28.466425587572775,50.0,50.0,50.0,50.0,50.0,50.0,25.35757968931428,50.0,50.0,38.03548675067288,50.0,50.0,50.0,50.0,36.67564350606911,19.877634048635098,50.0,50.0,50.0,50.0,50.0,14.24268349538911,50.0,50.0,50.0,50.0,21.84832464652261,50.0,50.0,33.254041147515814,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.195246517287003,39.06338309644061,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
창원,50.0,36.32273978815197,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,18.998876235163195,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,32.52489222755995,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,38.92913161109577,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.226581409261314,43.22225975921421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,31.113937660217488,25.744179936916034,38.97917693098659,46.925678670245226,50.0,50.0,50.0,50.0,50.0,50.0,50.0
청주,50.0,50.0,50.0,50.0,50.0,33.72826950462804,50.0,25.39070344012059,50.0,50.0,50.0,50.0,50.0,0.0,50.0,38.60023205424098,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.47516088651503,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,37.55664874130159,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,39.65572182324255,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
전주,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,22.229234321737632,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,40.54771129417044,50.0,50.0,50.0,50.0,50.0,50.0,38.81731187820509,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,42.19512708610369,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
천안,50.0,50.0,50.0,50.0,50.0,50.0,50.0,40.35525587374507,50.0,50.0,50.0,47.615246982371346,50.0,38.60023205424098,50.0,0.0,50.0,50.0,50.0,50.0,49.536233217455504,50.0,50.0,20.058399927149914,50.0,50.0,10.17220892521753,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,36.83218193384022,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,40.96183724978478,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.910767483719525,28.496260188089032,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
안산,30.106676392343434,50.0,50.0,18.61204813502749,50.0,50.0,50.0,50.0,18.685894131866544,28.365386946129444,37.34720242310222,32.0272147403936,50.0,50.0,50.0,50.0,0.0,13.7467319794686,48.77008164152846,21.138602319973714,13.584265157505348,50.0,50.0,42.92554021953873,50.0,50.0,50.0,50.0,50.0,50.0,10.290031426620011,50.0,50.0,17.520268263335012,50.0,50.0,34.096989666104776,49.5459362903512,6.931460112648681,38.797612942515265,50.0,50.0,50.0,50.0,50.0,28.95727594838502,50.0,50.0,50.0,50.0,12.408480188676268,48.863041436263856,50.0,41.63006753495036,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
안양,19.20366917375657,50.0,50.0,23.308828782837136,50.0,50.0,50.0,50.0,15.839975312233793,15.296847496159339,31.318972077385038,25.925706250885295,50.0,50.0,50.0,50.0,13.7467319794686,0.0,35.30932546249026,21.06316099303751,24.32724835727331,50.0,50.0,45.86596185995075,50.0,50.0,50.0,50.0,50.0,50.0,4.010254296706282,50.0,50.0,12.192677091059089,50.0,50.0,32.47494396562267,38.7563212517401,13.782799905315544,26.45470265702709,50.0,50.0,50.0,50.0,50.0,29.442965944240065,50.0,50.0,50.0,50.0,5.604441014915088,43.63966331836736,44.099576392538864,27.883562625712745,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.17246506931075,48.15284482883584,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
남양주,22.429116663352236,50.0,50.0,49.39004351099146,50.0,50.0,50.0,50.0,44.5499661157186,25.237723570904553,34.02366032418988,43.963315960388876,50.0,50.0,50.0,50.0,48.77008164152846,35.30932546249026,0.0,42.6389412425315,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,39.23915905571017,50.0,50.0,35.60294448638899,50.0,50.0,44.261158398494686,19.71490096783662,46.35823936798145,25.4009875681667,50.0,32.49725307877762,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,39.10170536699707,41.29359063277759,22.39825077043579,10.7345284613644,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,28.738451892152423,44.43303033599784,28.75646307757504,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
부천,20.210019963586966,50.0,50.0,7.399570203044378,50.0,50.0,50.0,50.0,35.61056157149188,33.492131388593975,18.135902470538987,46.93804608991888,50.0,50.0,50.0,50.0,21.138602319973714,21.06316099303751,42.6389412425315,0.0,34.38216883856897,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,21.929771582045216,50.0,50.0,9.633217176555267,50.0,50.0,12.964357761014458,35.25484956391496,14.246536487091515,44.796849425512676,50.0,50.0,50.0,50.0,50.0,48.325293168121654,50.0,50.0,50.0,50.0,25.381057383338405,28.366508823040924,39.91675982033516,40.07243565747347,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
화성,42.761397808487736,50.0,50.0,30.60383960999862,50.0,50.0,50.0,50.0,18.92332529224224,35.86331402413096,50.0,31.106714441816475,50.0,50.0,50.0,49.536233217455504,13.584265157505348,24.32724835727331,50.0,34.38216883856897,0.0,50.0,50.0,32.26464127932982,50.0,50.0,47.693223680563,50.0,50.0,50.0,20.31776554261773,50.0,50.0,30.979490567262175,50.0,50.0,47.239632056365934,50.0,20.194569915368692,44.21134584270796,50.0,50.0,50.0,50.0,50.0,22.150008395470014,50.0,50.0,50.0,50.0,20.173566139093335,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
포항,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,21.00527069931023,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,37.017176586143215,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
김해,50.0,17.744158571560803,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,18.998876235163195,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,15.823194140339421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.66216763054691,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.13377934293821,44.536057289719864,50.0,48.74400402146891,50.0,50.0,50.0,50.0,50.0,50.0,50.0
평택,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,30.31507135907705,47.342336228239326,50.0,28.466425587572775,50.0,50.0,50.0,20.058399927149914,42.92554021953873,45.86596185995075,50.0,50.0,32.26464127932982,50.0,50.0,0.0,50.0,50.0,23.67904346937908,50.0,50.0,50.0,43.02907173927512,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.75135701087149,48.31545812073515,50.0,50.0,50.0,50.0,50.0,16.775507848131742,50.0,50.0,50.0,50.0,40.282274928031754,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,44.8355298181505,50.0,50.0,41.36284722577666,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
진주,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,19.95727818991921,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.00451196177968,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,42.84326792217608,46.78083985607671,30.22029128216554,50.0,50.0,50.0,50.0,50.0,50.0,43.18295374981966,50.0,28.822214495488456,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
원주,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.123209027463936,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,41.24023882095181,50.0,50.0,50.0,33.61034433049925,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,42.61031341948726,41.80076330574192,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
아산,50.0,50.0,50.0,50.0,50.0,50.0,50.0,43.0891947170043,50.0,50.0,50.0,50.0,50.0,46.47516088651503,50.0,10.17220892521753,50.0,50.0,50.0,50.0,47.693223680563,50.0,50.0,23.67904346937908,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,39.59081550205953,50.0,50.0,50.0,49.36707407944625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,39.82821374644296,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,37.24559614514986,19.083650953559612,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
익산,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,22.229234321737632,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,20.06157185435395,50.0,50.0,50.0,50.0,50.0,50.0,43.21035569125467,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,30.59819498981181,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
춘천,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.6100788202869,50.0,48.234748904837424,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.956512752222395,50.0,24.897660304874933,43.87328945565483,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
